Date,"Branded Fuel- Distribution Costs, Marketing Costs, and Profits",Branded Fuel- Crude Oil Cost,Branded Fuel- Refinery Costs and Profits,Branded Fuel- State Underground Storage Tank Fee:,Branded Fuel- State and Local Sales Tax,Branded Fuel- State Excise Tax,Branded Fuel- Federal Excise Tax,Branded Fuel- Average Retail prices,,"Unbranded Fuel- Distribution Costs, Marketing Costs, and Profits",Unbranded Fuel- Crude Oil Cost,Unbranded Fuel- Refinery Costs and Profits,Unbranded Fuel- State Underground Storage Tank Fee:,Unbranded Fuel- State and Local Sales Tax,Unbranded Fuel- State Excise Tax,Unbranded Fuel- Federal Excise Tax,Unbranded Fuel- Average Retail prices
1/4/1999,$0.14 ,$0.25 ,$0.29 ,$0.00 ,$0.08 ,$0.18 ,$0.18 ,$1.13 ,,$0.20 ,$0.25 ,$0.23 ,$0.00 ,$0.08 ,$0.18 ,$0.18 ,$1.13 
1/11/1999,$0.15 ,$0.27 ,$0.26 ,$0.00 ,$0.08 ,$0.18 ,$0.18 ,$1.13 ,,$0.20 ,$0.27 ,$0.21 ,$0.00 ,$0.08 ,$0.18 ,$0.18 ,$1.13 
1/18/1999,$0.14 ,$0.25 ,$0.28 ,$0.00 ,$0.08 ,$0.18 ,$0.18 ,$1.12 ,,$0.23 ,$0.25 ,$0.20 ,$0.00 ,$0.08 ,$0.18 ,$0.18 ,$1.12 
1/25/1999,$0.15 ,$0.25 ,$0.26 ,$0.00 ,$0.08 ,$0.18 ,$0.18 ,$1.12 ,,$0.22 ,$0.25 ,$0.20 ,$0.00 ,$0.08 ,$0.18 ,$0.18 ,$1.12 
2/1/1999,$0.15 ,$0.26 ,$0.26 ,$0.00 ,$0.08 ,$0.18 ,$0.18 ,$1.11 ,,$0.18 ,$0.26 ,$0.22 ,$0.00 ,$0.08 ,$0.18 ,$0.18 ,$1.11 
2/8/1999,$0.14 ,$0.24 ,$0.28 ,$0.00 ,$0.08 ,$0.18 ,$0.18 ,$1.11 ,,$0.18 ,$0.24 ,$0.25 ,$0.00 ,$0.08 ,$0.18 ,$0.18 ,$1.11 
2/15/1999,$0.14 ,$0.23 ,$0.28 ,$0.00 ,$0.08 ,$0.18 ,$0.18 ,$1.10 ,,$0.18 ,$0.23 ,$0.25 ,$0.00 ,$0.08 ,$0.18 ,$0.18 ,$1.10 
2/22/1999,$0.15 ,$0.25 ,$0.27 ,$0.00 ,$0.08 ,$0.18 ,$0.18 ,$1.11 ,,$0.19 ,$0.25 ,$0.23 ,$0.00 ,$0.08 ,$0.18 ,$0.18 ,$1.11 
3/1/1999,$0.14 ,$0.26 ,$0.27 ,$0.00 ,$0.08 ,$0.18 ,$0.18 ,$1.12 ,,$0.15 ,$0.26 ,$0.26 ,$0.00 ,$0.08 ,$0.18 ,$0.18 ,$1.12 
3/8/1999,$0.09 ,$0.29 ,$0.33 ,$0.00 ,$0.09 ,$0.18 ,$0.18 ,$1.16 ,,$0.10 ,$0.29 ,$0.33 ,$0.00 ,$0.09 ,$0.18 ,$0.18 ,$1.16 
3/15/1999,$0.08 ,$0.30 ,$0.35 ,$0.00 ,$0.09 ,$0.18 ,$0.18 ,$1.19 ,,$0.13 ,$0.30 ,$0.31 ,$0.00 ,$0.09 ,$0.18 ,$0.18 ,$1.19 
3/22/1999,$0.06 ,$0.32 ,$0.39 ,$0.00 ,$0.09 ,$0.18 ,$0.18 ,$1.23 ,,($0.08),$0.32 ,$0.53 ,$0.00 ,$0.09 ,$0.18 ,$0.18 ,$1.23 
3/29/1999,$0.00 ,$0.35 ,$0.64 ,$0.00 ,$0.11 ,$0.18 ,$0.18 ,$1.46 ,,($0.13),$0.35 ,$0.77 ,$0.00 ,$0.11 ,$0.18 ,$0.18 ,$1.46 
4/5/1999,$0.05 ,$0.36 ,$0.70 ,$0.00 ,$0.12 ,$0.18 ,$0.18 ,$1.59 ,,($0.01),$0.36 ,$0.75 ,$0.00 ,$0.12 ,$0.18 ,$0.18 ,$1.59 
4/12/1999,$0.09 ,$0.35 ,$0.70 ,$0.00 ,$0.12 ,$0.18 ,$0.18 ,$1.62 ,,$0.21 ,$0.35 ,$0.58 ,$0.00 ,$0.12 ,$0.18 ,$0.18 ,$1.62 
4/19/1999,$0.16 ,$0.38 ,$0.57 ,$0.00 ,$0.12 ,$0.18 ,$0.18 ,$1.59 ,,$0.32 ,$0.38 ,$0.41 ,$0.00 ,$0.12 ,$0.18 ,$0.18 ,$1.59 
4/26/1999,$0.18 ,$0.38 ,$0.54 ,$0.00 ,$0.12 ,$0.18 ,$0.18 ,$1.57 ,,$0.32 ,$0.38 ,$0.39 ,$0.00 ,$0.12 ,$0.18 ,$0.18 ,$1.57 
5/3/1999,$0.18 ,$0.38 ,$0.50 ,$0.00 ,$0.12 ,$0.18 ,$0.18 ,$1.54 ,,$0.29 ,$0.38 ,$0.39 ,$0.00 ,$0.11 ,$0.18 ,$0.18 ,$1.54 
